point_id,sensor,s2_B2,s2_B3,s2_B4,s2_B8,s2_B11,s2_B12,s1_VV,s1_VH,soil_moisture
0,S1,,,,,,,-9.15097232927666,-13.21900273538664,36.0
0,S2,674.0,899.5,1293.5,2212.0,2090.5,1295.0,,,36.0
1,S1,,,,,,,-11.66659369773912,-17.476327980104898,52.0
1,S2,468.0,728.5,797.0,2568.0,2462.5,1369.0,,,52.0
2,S1,,,,,,,-8.874450243025091,-15.517381496884948,59.0
2,S2,421.0,706.0,605.0,3133.0,2123.5,1290.0,,,59.0
4,S1,,,,,,,-9.922096225486536,-15.533839629783673,25.0
4,S2,688.0,957.5,1348.0,3033.0,2590.0,1521.5,,,25.0
6,S1,,,,,,,-11.724120475817532,-15.260043269659818,62.0
6,S2,640.5,981.0,1189.0,3129.5,3371.5,2256.5,,,62.0
7,S1,,,,,,,-9.59708335835534,-13.339936298583012,39.0
7,S2,704.0,1009.0,1073.0,2660.0,2763.5,1968.0,,,39.0
8,S1,,,,,,,-10.76279977822415,-16.220763404207833,42.0
8,S2,637.0,884.0,1036.5,2467.5,2927.0,1924.5,,,42.0
9,S1,,,,,,,-10.554042408958251,-15.186926861017476,40.0
9,S2,660.5,991.0,1144.0,3396.0,3107.0,1783.0,,,40.0
16,S1,,,,,,,-11.289781102878484,-19.680233786617084,34.2
19,S1,,,,,,,-12.354997937139899,-20.560155646899414,41.1
20,S1,,,,,,,-9.49662557894488,-17.941405979384054,28.0
22,S1,,,,,,,-8.938295819897395,-17.530096179414848,37.4
31,S1,,,,,,,-7.591152066586971,-17.102682546196682,28.8
33,S1,,,,,,,-8.096269070657588,-18.154016640048965,24.5
70,S1,,,,,,,-9.957972285944164,-14.88824815013628,34.0
70,S2,620.0,895.5,1024.0,2581.0,2578.5,1873.0,,,34.0
71,S1,,,,,,,-10.210578603074696,-16.00281157391808,40.0
71,S2,425.0,662.0,642.0,2549.5,2210.0,1292.5,,,40.0
80,S1,,,,,,,-10.831468644319719,-17.152971221871,18.0
81,S1,,,,,,,-10.197889174226964,-19.54953240074812,30.8
82,S1,,,,,,,-8.623126581888918,-18.44473846353305,24.6
83,S1,,,,,,,-8.9724663860131,-18.15479724413134,22.1
84,S1,,,,,,,-13.546501679755536,-20.840956713535782,23.2
85,S1,,,,,,,-12.108968211034385,-17.345753501546394,29.7
86,S1,,,,,,,-10.019078145043201,-16.99896659076532,37.1
