point_id,sensor,s2_B2,s2_B3,s2_B4,s2_B8,s2_B11,s2_B12,s1_VV,s1_VH,soil_moisture
0,S1,,,,,,,-6.788332100056435,-12.779448549167006,36.0
0,S2,476.0,657.0,933.0,1580.0,1337.0,790.0,,,36.0
1,S1,,,,,,,-10.412637015907684,-17.208179306669898,52.0
1,S2,442.0,747.0,768.0,2674.0,2455.0,1319.0,,,52.0
2,S1,,,,,,,-7.459872892242528,-14.799674786793837,59.0
2,S2,406.0,695.0,596.0,3204.0,2167.0,1256.0,,,59.0
4,S1,,,,,,,-9.922096225486536,-15.351071814024442,25.0
4,S2,632.0,952.0,1316.0,3128.0,2469.0,1412.0,,,25.0
6,S1,,,,,,,-12.03673937697177,-15.001680707173271,62.0
6,S2,579.0,960.0,1132.0,3156.0,3332.0,2190.0,,,62.0
7,S1,,,,,,,-9.319285708571991,-12.10005301566586,39.0
7,S2,670.0,1002.0,1078.0,2562.0,2703.0,1903.0,,,39.0
8,S1,,,,,,,-9.671985413288096,-14.787898070158036,42.0
8,S2,604.0,876.0,1009.0,2501.0,2887.0,1866.0,,,42.0
9,S1,,,,,,,-11.11486694294178,-15.186926861017476,40.0
9,S2,626.0,988.0,1152.0,3384.0,3089.0,1712.0,,,40.0
16,S1,,,,,,,-9.765785263527963,-18.491039426947676,34.2
19,S1,,,,,,,-12.852015792974257,-21.09573383877578,41.1
20,S1,,,,,,,-8.561650308070142,-16.879975192040405,28.0
22,S1,,,,,,,-8.851064443128507,-17.6977752109727,37.4
31,S1,,,,,,,-5.9534383871129375,-17.1817643321353,28.8
33,S1,,,,,,,-8.347933545090282,-17.5540285673714,24.5
70,S1,,,,,,,-6.094112701259903,-9.355071009311258,34.0
70,S2,610.0,907.0,1030.0,2622.0,2579.0,1845.0,,,34.0
71,S1,,,,,,,-9.841081911130589,-14.343506262857122,40.0
71,S2,385.0,656.0,632.0,2552.0,2202.0,1226.0,,,40.0
80,S1,,,,,,,-10.378042951366178,-16.82516529354027,18.0
81,S1,,,,,,,-9.17400847689629,-18.957280224505528,30.8
82,S1,,,,,,,-7.882517196608186,-17.40493305461993,24.6
83,S1,,,,,,,-8.381558356800053,-15.991517804820344,22.1
84,S1,,,,,,,-12.595041382057625,-21.370554999291187,23.2
85,S1,,,,,,,-11.430837847195772,-17.015518304898098,29.7
86,S1,,,,,,,-8.892760373270923,-16.777067575076863,37.1
